Domain Code,AreaName,ItemName,Year,Value,Flag,FlagD
FS,Solomon Islands,Per capita food supply variability (kcal/capita/day),2011,22,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2000,50,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2001,60,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2002,32,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2003,43,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2004,66,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2005,71,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2006,43,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2007,25,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2008,47,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2009,56,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2010,52,,Official data
FS,Brunei Darussalam,Per capita food supply variability (kcal/capita/day),2011,43,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2000,105,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2001,112,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2002,100,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2003,32,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2004,32,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2005,21,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2006,34,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2007,24,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2008,26,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2009,41,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2010,41,,Official data
FS,Bulgaria,Per capita food supply variability (kcal/capita/day),2011,41,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2000,33,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2001,31,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2002,29,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2003,16,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2004,14,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2005,6,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2006,11,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2007,10,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2008,15,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2009,30,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2010,30,,Official data
FS,Myanmar,Per capita food supply variability (kcal/capita/day),2011,31,,Official data
FS,Burundi,Per capita food supply variability (kcal/capita/day),2000,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2001,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2002,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2003,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2004,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2005,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2006,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2007,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2008,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2009,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2010,,NA,Not applicable
FS,Burundi,Per capita food supply variability (kcal/capita/day),2011,,NA,Not applicable
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2000,16,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2001,22,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2002,21,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2003,14,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2004,12,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2005,12,,Official data
FS,Cameroon,Per capita food supply variability (kcal/capita/day),2006,12,,Official data
